Round,Match_ID,Team_A,Team_B
1,1,M6 + F1,M11 + F6
1,2,M7 + F10,M8 + F0
1,3,M1 + F2,M5 + F6
1,4,M2 + F3,M4 + F9
1,5,M3 + F11,M10 + F5
1,6,M0 + F4,M1 + F8
2,7,M6 + F4,M7 + F1
2,8,M5 + F2,M8 + F3
2,9,M2 + F9,M9 + F0
2,10,M3 + F6,M4 + F8
2,11,M0 + F3,M11 + F7
2,12,M1 + F5,M10 + F10
3,13,M0 + F0,M9 + F1
3,14,M5 + F5,M7 + F4
3,15,M1 + F7,M9 + F2
3,16,M2 + F11,M8 + F6
3,17,M4 + F3,M11 + F10
3,18,M7 + F11,M10 + F9
4,19,M3 + F2,M7 + F8
4,20,M0 + F1,M3 + F9
4,21,M5 + F7,M11 + F5
4,22,M1 + F0,M8 + F11
4,23,M3 + F10,M9 + F6
4,24,M1 + F4,M6 + F9
5,25,M4 + F5,M6 + F0
5,26,M2 + F1,M7 + F2
5,27,M8 + F8,M10 + F3
5,28,M1 + F9,M3 + F5
5,29,M10 + F6,M11 + F4
5,30,M0 + F10,M5 + F11
6,31,M5 + F0,M6 + F6
6,32,M0 + F7,M10 + F0
6,33,M2 + F4,M3 + F3
6,34,M8 + F2,M9 + F5
6,35,M1 + F11,M11 + F1
6,36,M4 + F10,M7 + F7
7,37,M2 + F0,M5 + F4
7,38,M4 + F1,M8 + F5
7,39,M0 + F2,M6 + F10
7,40,M7 + F6,M9 + F7
7,41,M6 + F3,M10 + F11
7,42,M9 + F9,M11 + F8
8,43,M4 + F0,M10 + F2
8,44,M5 + F1,M9 + F8
8,45,M1 + F6,M7 + F3
8,46,M3 + F7,M8 + F4
8,47,M8 + F10,M11 + F9
8,48,M2 + F7,M6 + F11
9,49,M3 + F1,M5 + F3
9,50,M6 + F8,M8 + F7
9,51,M0 + F9,M4 + F2
9,52,M2 + F2,M11 + F11
9,53,M0 + F5,M2 + F6
9,54,M9 + F10,M10 + F4
10,55,M1 + F1,M4 + F7
10,56,M3 + F8,M11 + F0
10,57,M2 + F10,M10 + F1
10,58,M6 + F5,M9 + F3
10,59,M4 + F11,M5 + F8
10,60,M0 + F6,M8 + F9
11,61,M7 + F0,M11 + F3
11,62,M3 + F4,M6 + F2
11,63,M0 + F8,M7 + F5
11,64,M5 + F9,M10 + F7
11,65,M1 + F10,M2 + F8
11,66,M4 + F4,M9 + F11
